Report generated on 01-01-2020,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
2019-04-22,Brazil,153,2649.32
2019-04-14,Brazil,57,940.4
2019-04-26,Colombia,310,4408.22
2019-04-25,USA,90,2044.18
2019-04-23,Panama,204,16330.85
2019-04-07,USA,356,3772.26
2019-04-11,Colombia,122,2490.96
2019-04-27,Colombia,367,19933.19
2019-04-24,Panama,223,13834.04
2019-04-16,Colombia,159,3448.16
2019-04-08,Canada,258,14601.34
2019-04-14,Panama,325,11939.47
2019-04-01,Colombia,349,10844.36
2019-04-07,Panama,139,2890.93
2019-04-14,Colombia,360,22928.71
2019-04-03,Panama,69,2074.68
2019-04-17,Panama,361,16159.8
2019-04-30,Canada,26,2178.03
2019-04-16,Brazil,387,9041.12
2019-04-04,Canada,222,7975.43
2019-04-08,Brazil,23,4.18
2019-04-06,USA,398,1196.59
2019-04-29,Canada,358,2103.88
2019-04-07,USA,273,185.3
2019-04-28,Canada,144,2946.67
2019-04-05,Canada,54,1753.2
2019-04-20,USA,92,759.18
2019-04-21,Canada,370,5892.83
2019-04-10,USA,193,5210.95
2019-04-21,Colombia,281,1191.11
2019-04-15,Brazil,232,558.31
2019-04-18,USA,400,15408.94
2019-04-19,Brazil,54,2048.42
2019-04-14,Canada,84,3135.05
2019-04-27,USA,357,15133.99
2019-04-18,Colombia,209,339.15
2019-04-03,Colombia,277,987.22
2019-04-02,Canada,201,7786.81
2019-04-26,Colombia,78,1808.54
2019-04-03,Panama,219,368.6
2019-04-05,Brazil,362,33392.49
2019-04-18,Panama,182,2844.26
2019-04-19,Canada,162,9421.19
2019-04-03,Panama,94,6260.69
2019-04-10,Colombia,382,10146.06
2019-04-19,Panama,31,876.54
2019-04-23,Canada,287,2041.4
2019-04-26,Canada,396,6970.28
2019-04-22,Colombia,51,1687.16
2019-04-20,Panama,97,1352.03
2019-04-13,Colombia,100,1676.42
2019-04-19,Canada,144,233.57
2019-04-16,Brazil,103,2344.34
2019-04-20,Brazil,215,4263.55
2019-04-14,USA,397,5767.77
2019-04-23,Panama,81,241.72
2019-04-17,USA,282,8942.28
2019-04-08,Canada,175,1654.47
2019-04-15,Brazil,383,17721.26
2019-04-25,Colombia,293,8341.47
2019-04-21,USA,196,7197.15
2019-04-02,Colombia,170,3777.84
2019-04-08,Colombia,188,6044.04
2019-04-07,Brazil,194,382.57
2019-04-16,Panama,297,8693
2019-04-19,Panama,266,3881.39
2019-04-20,Brazil,113,8079.55
2019-04-08,USA,385,3226.47
2019-04-12,Brazil,322,10071.92
2019-04-22,Brazil,155,6340.51
2019-04-16,USA,175,2361.61
2019-04-25,Brazil,214,1115.34
2019-04-03,Colombia,300,25698.61
2019-04-12,Brazil,97,323.86
2019-04-29,Canada,147,4716.72
2019-04-22,Canada,367,4520.67
2019-04-20,Panama,162,2825.33
2019-04-14,Colombia,90,652.93
2019-04-06,Canada,333,6164.43
2019-04-14,Canada,182,901.07
2019-04-27,Panama,187,4409.87
2019-04-03,Brazil,333,2268.69
2019-04-27,USA,198,2982.76
2019-04-26,Colombia,202,14234.65
2019-04-27,Brazil,309,16057.6
2019-04-22,Colombia,52,678.29
2019-04-26,Colombia,376,6798.56
2019-04-25,Panama,135,2893.31
2019-04-02,Colombia,164,2307.79
2019-04-17,Brazil,276,10102.86
2019-04-11,Brazil,384,10743.43
2019-04-15,USA,376,30510.21
2019-04-11,USA,273,1171.36
2019-04-13,Brazil,355,8525.25
2019-04-10,Colombia,125,348.8
2019-04-11,Panama,142,7695.55
2019-04-05,USA,68,2099.37
2019-04-07,Canada,236,2053.81
2019-04-11,Panama,159,4602.76
2019-04-16,Colombia,288,284.95
