Report generated on 01-01-2020,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
2019-08-22,USA,138,7768.96
2019-08-09,Brazil,384,30475.81
2019-08-08,Brazil,35,1828.28
2019-08-20,Panama,55,742.98
2019-08-10,Brazil,38,826.62
2019-08-11,Panama,389,21447.03
2019-08-31,Colombia,209,2889.63
2019-08-22,Colombia,109,3265.46
2019-08-22,Colombia,56,1367.48
2019-08-03,Colombia,274,3240.6
2019-08-03,Brazil,139,5630.4
2019-08-01,Brazil,170,1008.93
2019-08-24,Brazil,283,17447.25
2019-08-05,Canada,188,3153.57
2019-08-21,Canada,213,4344.06
2019-08-29,Canada,236,85.99
2019-08-29,Canada,156,7660.22
2019-08-28,Canada,151,7766.89
2019-08-03,USA,151,2112.86
2019-08-16,Panama,136,11211.37
2019-08-27,Canada,141,5962.74
2019-08-04,Brazil,283,17691.05
2019-08-28,Colombia,49,821.72
2019-08-03,Panama,112,3096.51
2019-08-01,Colombia,298,22654.07
2019-08-21,USA,278,307.28
2019-08-09,Panama,47,1151.69
2019-08-06,Panama,188,7093.89
2019-08-23,USA,159,3395.38
2019-08-01,Canada,45,166.91
2019-08-12,USA,256,2609.58
2019-08-08,Canada,49,2439.45
2019-08-23,Brazil,203,2569.84
2019-08-01,USA,105,4877.01
2019-08-09,USA,393,3560.77
2019-08-28,Canada,334,7181.71
2019-08-29,Brazil,169,2458.13
2019-08-16,Canada,275,7620.16
2019-08-05,Canada,357,87.35
2019-08-16,USA,177,8011.59
2019-08-03,USA,326,20704.25
2019-08-26,Brazil,191,10698.58
2019-08-17,Panama,270,3462.37
2019-08-10,Canada,54,807.28
2019-08-26,Canada,363,4261.97
2019-08-19,Canada,183,8096.51
2019-08-01,Panama,262,7866.59
2019-08-22,Canada,122,1110.77
2019-08-03,USA,168,2192.44
2019-08-06,Colombia,275,8456.1
2019-08-15,Brazil,264,20127.35
2019-08-30,Colombia,216,10989.83
2019-08-29,USA,129,1743.36
2019-08-20,Colombia,233,3724.4
2019-08-05,Panama,323,4782.99
2019-08-25,Colombia,154,5369.53
2019-08-02,Panama,156,1681.56
2019-08-30,Brazil,148,14361.44
2019-08-02,Colombia,226,11751.81
2019-08-13,Colombia,205,16634.46
2019-08-30,Panama,244,7672.13
2019-08-06,Brazil,169,2051.09
2019-08-03,USA,167,9783.12
2019-08-25,Brazil,226,3776.41
2019-08-31,Brazil,188,471.82
2019-08-13,Panama,80,1345.69
2019-08-03,Colombia,68,417.33
2019-08-15,Brazil,64,1410.63
2019-08-31,Canada,334,7566.06
2019-08-26,USA,36,1813.05
2019-08-15,Brazil,305,13959.94
2019-08-23,Panama,167,4376.74
2019-08-13,Colombia,396,28543.8
2019-08-03,Colombia,258,7389.38
2019-08-04,Panama,344,5950.83
2019-08-13,Canada,206,2875.27
2019-08-05,Colombia,45,1287.2
2019-08-10,Colombia,111,2982.37
2019-08-07,Brazil,366,6196.72
2019-08-08,Brazil,12,256.1
2019-08-08,Brazil,225,4507.67
2019-08-24,Brazil,221,6828.01
2019-08-11,Canada,134,5136.85
2019-08-08,Brazil,373,4701.25
2019-08-25,Brazil,86,1774.83
