Report generated on 01-01-2020,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
2019-12-24,Colombia,388,17034.65
2019-12-18,USA,233,3995.81
2019-12-05,USA,333,11971.62
2019-12-22,Brazil,203,12116.46
2019-12-12,Canada,263,7461.85
2019-12-01,Brazil,389,17397.13
2019-12-24,USA,224,8270.56
2019-12-07,Brazil,256,17731.93
2019-12-09,Panama,67,2104.79
2019-12-29,Panama,302,1826.79
2019-12-15,Canada,340,9133.2
2019-12-27,Canada,174,2344.49
2019-12-02,Brazil,45,1896.32
2019-12-25,USA,178,7981.01
2019-12-13,Colombia,395,13655
2019-12-24,Canada,153,2590.43
2019-12-15,USA,355,20488.35
2019-12-23,USA,295,4676.57
2019-12-31,Brazil,101,2181.67
2019-12-27,USA,128,3595.66
2019-12-26,Canada,164,607.62
2019-12-18,Colombia,165,1108.62
2019-12-10,Colombia,289,10535.47
2019-12-31,Panama,365,4108.96
2019-12-24,Brazil,247,1625.02
2019-12-08,USA,311,12389.4
2019-12-16,Brazil,34,1609.84
2019-12-13,Colombia,210,3206.17
2019-12-30,Panama,38,518.99
2019-12-09,Panama,165,3679.45
2019-12-14,Brazil,19,1260.8
2019-12-05,Panama,385,3794.56
2019-12-27,Panama,289,6229.04
2019-12-05,Colombia,345,2428.69
2019-12-09,Brazil,112,1020.3
2019-12-13,Brazil,35,747
2019-12-30,USA,168,1463.63
2019-12-11,Canada,252,4474.44
2019-12-29,Brazil,86,997.07
2019-12-18,Canada,392,3507.19
2019-12-15,Brazil,55,1065.61
2019-12-25,USA,107,1517.12
2019-12-29,Brazil,292,6808.26
2019-12-29,Canada,15,398.57
2019-12-07,Brazil,11,319.03
2019-12-22,Brazil,68,2718.93
2019-12-25,Panama,374,20576.52
2019-12-13,Panama,331,2148.53
2019-12-11,USA,60,2530.62
2019-12-15,Brazil,200,4966.46
2019-12-06,Canada,226,246.63
2019-12-04,Brazil,61,3174.04
