Report generated on 01-01-2020,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
2019-02-24,USA,366,28641.21
2019-02-14,Panama,128,4223.28
2019-02-26,Canada,110,1101.63
2019-02-13,Panama,166,10996.77
2019-02-20,Colombia,91,104.93
2019-02-20,USA,79,415.15
2019-02-12,Panama,120,2573.1
2019-02-06,Panama,255,3503.12
2019-02-24,Panama,296,25186.77
2019-02-26,Canada,21,130.46
2019-02-09,Panama,37,76.3
2019-02-28,USA,289,7745.06
2019-02-10,Colombia,51,1228.12
2019-02-08,Canada,237,6002.88
2019-02-23,Canada,208,4504.38
2019-02-20,Panama,80,735.83
2019-02-02,Brazil,381,6692.52
2019-02-28,USA,254,6054.71
2019-02-10,Colombia,29,2248.79
2019-02-14,Panama,326,13575.81
2019-02-17,Panama,226,1642.04
2019-02-10,Colombia,88,2415
2019-02-18,Panama,390,20638.97
2019-02-07,Brazil,103,6308.1
2019-02-06,USA,241,10425.34
2019-02-28,USA,65,2276.11
2019-02-23,Brazil,135,4131.3
2019-02-13,Brazil,95,34.18
2019-02-10,USA,239,3979.87
2019-02-20,Panama,76,1556.8
2019-02-01,Canada,142,3115.47
2019-02-19,Colombia,195,2883.18
2019-02-18,USA,204,558.77
2019-02-08,Colombia,329,501.65
2019-02-16,Canada,351,621.69
2019-02-27,USA,149,3777.24
2019-02-22,Panama,146,3572.29
2019-02-16,Colombia,341,11890.35
2019-02-25,Colombia,241,9586.53
2019-02-10,Panama,191,571.71
2019-02-09,Canada,212,9476.49
2019-02-09,USA,189,1463.32
2019-02-01,Canada,335,9670.45
2019-02-03,USA,101,6986.96
2019-02-13,USA,73,5744.83
2019-02-02,Colombia,109,3319.6
2019-02-02,USA,354,17818.46
2019-02-24,Panama,310,9745.73
2019-02-16,Canada,251,1715.1
2019-02-03,Brazil,156,8284.57
2019-02-28,USA,330,2995.66
2019-02-14,Brazil,286,14348.36
2019-02-10,Brazil,244,14009.41
2019-02-16,Canada,155,9087
2019-02-02,Brazil,220,11244.83
2019-02-26,Canada,161,634.36
2019-02-12,Panama,223,1128.37
2019-02-04,Canada,344,23895.26
2019-02-27,Colombia,256,966.5
2019-02-24,Canada,303,2188.2
2019-02-04,Panama,285,15974.88
2019-02-06,Canada,356,3704.39
2019-02-19,Colombia,102,2001.47
2019-02-06,Colombia,14,170.09
2019-02-21,Brazil,199,3886.54
2019-02-19,Panama,102,5364.75
2019-02-04,Colombia,157,5714.99
2019-02-01,Canada,312,19022.89
2019-02-15,USA,58,3607.99
2019-02-15,Colombia,202,4961.57
2019-02-12,USA,19,228
2019-02-19,Canada,264,7155.58
2019-02-27,Brazil,148,1186.29
2019-02-21,USA,291,12619.76
2019-02-27,Canada,25,1192.88
2019-02-06,Panama,90,3560.32
2019-02-25,USA,174,2246.09
2019-02-09,USA,106,155.37
2019-02-21,Canada,197,4094.2
2019-02-18,Canada,397,12304.8
2019-02-01,USA,387,23525.5
2019-02-04,USA,185,2154.83
2019-02-09,USA,174,2211.27
2019-02-26,Brazil,89,7604.88
2019-02-17,Brazil,68,2549
2019-02-03,Canada,262,15994.59
2019-02-25,Colombia,318,10341.67
2019-02-19,Colombia,352,27964.31
2019-02-05,Canada,121,137.47
2019-02-03,Canada,163,6352.3
2019-02-23,Panama,252,17906.41
2019-02-09,Panama,96,3702.87
2019-02-10,Canada,284,7853.2
2019-02-20,Colombia,294,1980.62
2019-02-24,Brazil,61,1880.19
2019-02-01,Colombia,69,464.13
2019-02-19,USA,79,233.63
2019-02-25,Brazil,243,12222.34
2019-02-26,Colombia,128,6398.35
2019-02-23,Panama,311,14062.98
2019-02-03,USA,101,1316.65
2019-02-21,Canada,326,18178.41
2019-02-27,USA,216,7946.66
2019-02-28,Panama,201,3790.89
2019-02-24,Brazil,330,16055.65
2019-02-26,USA,335,12759.86
2019-02-01,Colombia,120,814.62
2019-02-04,USA,334,9261.17
2019-02-28,USA,267,17016.79
2019-02-27,Colombia,384,11648.84
2019-02-03,Panama,311,1604.79
2019-02-18,Colombia,377,3180.72
2019-02-06,Colombia,380,5238.84
2019-02-17,Colombia,358,815.68
2019-02-14,USA,254,6775.15
