Report generated on 01-01-2020,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
2019-01-08,USA,343,15461.36
2019-01-04,Panama,93,4681.26
2019-01-07,Panama,42,2220.36
2019-01-16,Brazil,103,1853.78
2019-01-17,USA,28,286.3
2019-01-24,Canada,372,24826.98
2019-01-26,Canada,61,1592.42
2019-01-28,Canada,264,3228.11
2019-01-13,Canada,27,257.97
2019-01-28,Brazil,323,3024.25
2019-01-27,Canada,187,4046.31
2019-01-25,USA,56,1650.34
2019-01-15,Colombia,201,2995.88
2019-01-19,Colombia,142,2383.66
2019-01-04,Brazil,271,1726.7
2019-01-19,Panama,288,4532.62
2019-01-15,Colombia,392,16229.64
2019-01-30,Colombia,60,1250.79
2019-01-20,USA,296,391.86
2019-01-03,Brazil,377,30840.25
2019-01-11,Colombia,175,7841.01
2019-01-05,USA,279,12881.19
2019-01-23,USA,165,8996.57
2019-01-07,Canada,306,4131.21
2019-01-27,Canada,141,9419.58
2019-01-24,Panama,214,998.75
2019-01-27,USA,264,23353.44
2019-01-13,Brazil,274,1783.08
2019-01-05,Canada,289,5758.91
2019-01-17,USA,298,14543.85
2019-01-11,Colombia,239,3794.66
2019-01-12,Colombia,175,5058.76
2019-01-06,USA,47,1234.82
2019-01-08,Canada,220,13798.08
2019-01-15,USA,36,1181.46
2019-01-20,Canada,210,10027.93
2019-01-05,Panama,15,159.28
2019-01-27,Canada,389,10312.46
2019-01-23,Brazil,85,917.27
2019-01-25,Canada,371,20234.08
2019-01-21,USA,291,9371.43
2019-01-11,Panama,208,6117.4
2019-01-25,Canada,15,311.34
2019-01-08,USA,322,15965.02
2019-01-08,Canada,73,745.44
2019-01-13,Colombia,392,6784.39
2019-01-23,Colombia,300,9966.59
2019-01-23,Colombia,364,20913.82
2019-01-30,Canada,336,4044.39
2019-01-11,Canada,259,8694.91
2019-01-18,Canada,359,21394.85
2019-01-01,Brazil,86,1264.87
2019-01-17,Canada,47,947.45
2019-01-20,Panama,137,5174.79
2019-01-01,Panama,293,73.34
2019-01-15,USA,54,526.36
2019-01-13,USA,54,1041.76
2019-01-29,Panama,147,9196.82
2019-01-23,Colombia,339,4722.76
2019-01-04,USA,309,6694.46
2019-01-03,Panama,123,2443.94
2019-01-25,Panama,30,751.31
2019-01-25,Colombia,168,2141.01
2019-01-03,Colombia,86,1794.55
2019-01-06,USA,132,701.62
2019-01-30,USA,309,21044.26
2019-01-01,Canada,307,16448.55
2019-01-01,USA,295,10000.97
2019-01-07,Panama,148,10357.14
2019-01-25,Panama,334,7348.69
2019-01-11,Colombia,313,11018.25
2019-01-26,USA,275,4108.86
2019-01-11,USA,138,7199.14
2019-01-19,Brazil,252,3449.39
2019-01-28,USA,398,16280.66
2019-01-24,Brazil,364,13878.72
2019-01-27,Panama,253,21535.82
2019-01-17,Panama,347,12848.19
2019-01-13,Panama,283,24813.1
2019-01-25,Panama,344,709.36
2019-01-04,Canada,356,28390.3
2019-01-22,Brazil,43,2723.93
2019-01-26,USA,112,1542.4
2019-01-11,Colombia,284,411.26
2019-01-23,Brazil,96,1550.77
2019-01-28,Colombia,140,578.52
2019-01-01,Panama,70,555.16
2019-01-10,USA,374,2962.34
2019-01-02,Panama,325,20844.67
2019-01-17,Colombia,91,436.9
2019-01-12,Brazil,50,663.97
2019-01-06,Brazil,33,670.7
2019-01-19,USA,311,8899.8
2019-01-28,Brazil,22,1267.74
2019-01-31,Panama,196,1134.15
2019-01-06,Brazil,240,6998.14
2019-01-25,Brazil,51,1512.18
