Report generated on 01-01-2020,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
2019-07-11,Colombia,85,1249.24
2019-07-22,Brazil,38,1578.21
2019-07-15,Brazil,104,7404.42
2019-07-09,USA,369,3558.95
2019-07-02,Panama,392,6964.87
2019-07-10,Brazil,34,620.52
2019-07-02,USA,70,5529.05
2019-07-21,Colombia,277,9512.6
2019-07-25,USA,149,970.29
2019-07-15,USA,31,1370.41
2019-07-05,Colombia,286,20508.63
2019-07-25,Panama,399,33310.56
2019-07-29,USA,23,273.29
2019-07-23,Colombia,13,122.31
2019-07-21,Brazil,287,15100.28
2019-07-26,Panama,244,2434.92
2019-07-22,USA,199,5647.96
2019-07-12,Canada,93,2921.36
2019-07-02,USA,30,580.73
2019-07-11,Canada,348,1943.79
2019-07-02,Panama,250,14909.82
2019-07-27,Brazil,351,15464.61
2019-07-16,USA,144,1643.67
2019-07-17,USA,162,1244.73
2019-07-24,Colombia,306,15948.6
2019-07-16,Colombia,100,5909.86
2019-07-04,USA,89,3054.23
2019-07-15,USA,235,4537.14
2019-07-04,USA,31,2014.48
2019-07-16,Panama,291,14755.95
2019-07-02,Colombia,356,14333.24
2019-07-18,Colombia,170,2146.26
2019-07-08,Panama,314,18470.8
2019-07-19,Brazil,151,4794.4
2019-07-02,Canada,324,650.35
2019-07-12,Brazil,295,325.88
2019-07-22,USA,178,1034.6
2019-07-24,Brazil,364,2198.84
2019-07-08,Brazil,67,2841.53
2019-07-18,Colombia,308,18146.31
2019-07-17,Colombia,155,4224.89
2019-07-25,USA,316,4083.49
2019-07-16,USA,110,137.51
2019-07-26,Colombia,163,3299.42
2019-07-24,Panama,141,413.7
2019-07-23,Colombia,252,394.21
2019-07-24,Canada,117,6450.46
2019-07-26,Brazil,247,14797.67
2019-07-05,Brazil,310,7739.62
2019-07-07,Colombia,223,10534.54
2019-07-13,Panama,127,5417.48
2019-07-12,Colombia,189,5403.04
2019-07-17,Brazil,45,405.75
2019-07-30,Brazil,203,465.1
2019-07-04,USA,198,2405.66
2019-07-26,Canada,320,10015.67
2019-07-10,Brazil,234,8523.92
2019-07-19,Panama,121,4377.25
2019-07-20,Panama,53,2091.85
2019-07-29,Panama,158,4000.76
2019-07-21,Colombia,152,5925.99
2019-07-17,Brazil,109,4775.39
2019-07-29,Colombia,330,4006.45
2019-07-05,USA,33,1679.53
2019-07-01,Brazil,322,12683.58
2019-07-23,Brazil,329,16414.88
2019-07-22,Colombia,392,11228.48
2019-07-28,Brazil,176,11254.48
2019-07-23,USA,353,19900.03
2019-07-30,Colombia,142,306.54
2019-07-09,Canada,385,30194.6
2019-07-14,Colombia,286,11940.68
2019-07-28,Panama,147,5193.85
2019-07-13,USA,334,8867.78
2019-07-26,Colombia,256,22722.23
2019-07-11,USA,151,2671.97
2019-07-26,Canada,242,9809.61
2019-07-21,Canada,62,2295.4
2019-07-17,Brazil,184,1875.85
2019-07-21,Brazil,141,4955.21
2019-07-12,Canada,59,123.88
2019-07-03,USA,200,11386.75
2019-07-14,Panama,77,4324.07
2019-07-06,USA,172,8176.82
2019-07-18,Brazil,282,24450.37
2019-07-12,Brazil,352,3070.23
2019-07-19,Brazil,287,4379.15
2019-07-25,Brazil,298,1664.21
2019-07-05,Panama,327,5347.36
2019-07-08,Panama,114,893.26
2019-07-17,Colombia,163,9254.97
2019-07-04,Colombia,111,414.18
2019-07-25,Panama,36,184.47
2019-07-07,Panama,169,1875.58
2019-07-07,Canada,20,139.61
2019-07-31,Colombia,84,4071.38
2019-07-13,Brazil,344,2453.99
2019-07-31,Canada,155,5273.28
2019-07-24,Brazil,124,595.2
2019-07-11,Canada,322,11785.86
2019-07-28,USA,179,5653.14
2019-07-15,Colombia,54,1343.64
2019-07-03,Brazil,196,1691.88
2019-07-22,Canada,216,3385.57
2019-07-24,Panama,102,1696.23
2019-07-16,USA,13,260.58
2019-07-17,Colombia,146,3640.82
2019-07-08,Brazil,228,404.45
2019-07-23,Canada,140,904.32
2019-07-03,Panama,84,2199.05
2019-07-21,Panama,18,209.37
2019-07-17,Brazil,87,244.69
2019-07-19,Canada,106,3253.84
2019-07-23,Colombia,207,740.66
2019-07-22,Canada,293,2073.09
2019-07-01,USA,153,3907.08
2019-07-08,USA,55,1096.13
2019-07-10,Canada,132,760.96
2019-07-23,Canada,300,3376.64
2019-07-17,Colombia,394,14291.57
2019-07-11,Brazil,64,1023.86
2019-07-25,USA,369,20092
2019-07-26,Panama,22,124.78
2019-07-15,USA,101,8158.1
2019-07-03,Brazil,20,1472.66
2019-07-20,Brazil,341,6566.85
2019-07-19,USA,16,300.05
2019-07-21,Canada,356,5223.09
2019-07-29,Canada,281,7069.63
2019-07-26,USA,182,6155.31
2019-07-19,Brazil,288,8763.97
2019-07-28,USA,98,5103.57
2019-07-27,Colombia,169,2212.45
2019-07-25,Brazil,229,3130.65
2019-07-26,Colombia,366,18098.81
2019-07-02,Brazil,111,497.09
2019-07-31,Canada,197,3607.24
2019-07-16,Brazil,289,7736.58
2019-07-10,USA,129,8108.97
2019-07-15,Panama,48,1620.66
2019-07-21,Colombia,108,2217.73
2019-07-10,Panama,108,1837.97
2019-07-20,Brazil,204,5517.72
2019-07-22,Brazil,203,5009.44
2019-07-07,Brazil,246,9234.68
2019-07-25,Colombia,58,2180.05
2019-07-17,Canada,285,4669.43
2019-07-08,Brazil,55,3496.61
2019-07-17,Brazil,338,21309.01
2019-07-10,Canada,314,10549.55
2019-07-15,Brazil,156,403.87
2019-07-02,USA,73,1171.31
2019-07-03,Panama,87,2350.27
2019-07-30,Colombia,225,8067.92
2019-07-17,Canada,252,7317.64
2019-07-23,USA,265,4551.99
2019-07-03,USA,75,1462.24
2019-07-19,Panama,240,4368.04
2019-07-07,Canada,310,20485.21
2019-07-26,Brazil,322,728.82
2019-07-15,USA,307,15548.57
2019-07-29,Colombia,288,6352.69
