Report generated on 01-01-2020,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
2019-06-27,Panama,166,5232.61
2019-06-03,USA,20,515.06
2019-06-10,Canada,57,1064.02
2019-06-16,Colombia,274,10162.06
2019-06-24,USA,222,8655.87
2019-06-06,Colombia,309,3199.38
2019-06-24,USA,392,9762.32
2019-06-15,Panama,219,2921.72
2019-06-01,Brazil,18,1062.14
2019-06-06,Brazil,252,2346.4
2019-06-22,Panama,50,1819.61
2019-06-10,Colombia,266,6764
2019-06-20,Canada,338,29524.36
2019-06-18,Colombia,363,5934.79
2019-06-23,Canada,220,9853.6
2019-06-28,USA,205,9438.31
2019-06-22,Panama,399,31062.96
2019-06-24,Panama,307,8157.7
2019-06-22,USA,286,4204.5
2019-06-06,Colombia,104,994.46
2019-06-18,Canada,169,7786.21
2019-06-21,USA,89,1137.09
2019-06-23,Colombia,282,5396.41
2019-06-12,Colombia,375,26516.61
2019-06-15,Canada,241,11127.29
2019-06-01,Panama,56,463.29
2019-06-08,Canada,97,3914.28
2019-06-09,USA,333,20292.83
2019-06-01,Brazil,210,2054.54
2019-06-10,USA,360,18471.77
2019-06-04,USA,380,13426.39
2019-06-16,Panama,245,14130.74
2019-06-07,Colombia,360,20940.55
2019-06-05,Colombia,139,369.52
2019-06-21,Colombia,307,1597.02
2019-06-14,Panama,332,15588.16
2019-06-18,Colombia,60,1361.69
2019-06-06,Brazil,227,755.3
2019-06-01,USA,295,2144.82
2019-06-03,Brazil,339,16306.8
2019-06-27,Canada,389,24034.13
2019-06-14,Canada,348,12031.93
2019-06-26,Panama,146,3128.78
2019-06-12,USA,51,3035.09
2019-06-07,Canada,52,2772.45
2019-06-29,Colombia,243,15491.07
2019-06-23,Canada,109,3449.18
2019-06-25,Colombia,52,38.19
2019-06-19,Colombia,182,13851.34
2019-06-30,Colombia,248,21026.89
2019-06-30,Colombia,16,180.32
2019-06-15,Canada,208,2340.96
2019-06-26,Panama,221,1618.99
2019-06-27,USA,207,15364.17
2019-06-14,Canada,69,734.97
2019-06-06,Canada,382,24783.45
2019-06-03,Canada,241,13455
2019-06-15,Brazil,96,2482.84
2019-06-10,Colombia,33,1095.42
2019-06-15,USA,340,6984.53
2019-06-02,Brazil,66,1849.41
2019-06-11,Panama,55,32.04
2019-06-29,Panama,206,14351.64
2019-06-21,Colombia,198,12601.12
2019-06-15,Canada,395,12108.16
2019-06-30,USA,196,10018.92
2019-06-29,Colombia,188,866.63
2019-06-04,Canada,294,18985.82
2019-06-28,Brazil,358,4934.04
2019-06-28,Colombia,304,18579.5
2019-06-29,Brazil,240,272.34
2019-06-14,Colombia,36,309.26
2019-06-25,Panama,250,3505.75
2019-06-16,Brazil,43,2778.11
2019-06-12,Panama,201,4565.79
2019-06-06,Colombia,171,2428.16
2019-06-16,USA,27,814.14
2019-06-23,Panama,156,1925.62
2019-06-14,Brazil,231,3134.13
2019-06-08,Canada,230,2860.04
2019-06-14,USA,26,1435.94
2019-06-26,Colombia,228,564.16
2019-06-08,Panama,304,1327.73
2019-06-03,Colombia,217,8271
2019-06-24,Panama,311,2264.91
2019-06-07,Panama,170,1133.46
2019-06-19,Panama,207,27.17
2019-06-05,Canada,145,2040.36
2019-06-18,Colombia,158,7347.53
2019-06-10,Canada,307,1332.11
2019-06-16,Canada,96,6097.18
2019-06-01,Colombia,334,4438.84
2019-06-27,USA,160,8371.51
2019-06-11,USA,91,1547.23
2019-06-07,Brazil,174,2825.8
2019-06-03,Canada,323,10576.14
2019-06-06,Brazil,45,235.99
2019-06-28,Colombia,88,108.45
2019-06-21,Colombia,205,3832.79
2019-06-14,Brazil,109,2684.73
2019-06-21,Panama,276,16711.71
2019-06-04,Panama,297,10681.58
2019-06-21,Canada,306,1503.07
2019-06-23,Panama,152,3448.6
2019-06-15,Brazil,147,4690.39
2019-06-28,Brazil,378,20748.61
2019-06-12,Canada,264,6028.66
2019-06-13,Canada,379,31503.96
2019-06-26,USA,101,4110.47
2019-06-06,Panama,249,5272.85
2019-06-20,Canada,296,4869.91
2019-06-16,Panama,339,5679.18
2019-06-24,Panama,336,4596.25
2019-06-13,USA,139,4713.15
2019-06-11,Panama,330,10905.49
2019-06-07,Panama,198,5049.37
2019-06-15,Brazil,215,11525.3
2019-06-29,USA,100,3917.33
2019-06-08,Panama,224,12244.02
2019-06-17,Colombia,241,427.41
2019-06-16,Canada,40,1292.51
2019-06-21,Canada,251,1994.96
2019-06-29,Panama,290,5912.77
2019-06-26,Colombia,395,8880.1
2019-06-04,USA,311,1703.9
2019-06-25,USA,54,3833.49
2019-06-10,Colombia,117,4527.28
2019-06-19,Brazil,28,719.13
2019-06-14,USA,223,19594.6
2019-06-29,USA,226,3146.54
2019-06-10,Brazil,13,42.47
2019-06-24,Panama,172,4135.98
2019-06-15,Brazil,149,8733.94
2019-06-04,USA,265,3499.61
2019-06-11,Panama,247,1690.4
2019-06-22,Canada,30,165.13
2019-06-22,Panama,311,13064.6
2019-06-29,Panama,24,591.96
2019-06-28,Canada,364,363.95
2019-06-10,USA,67,3272
2019-06-17,Canada,277,5689.22
2019-06-15,Panama,204,5962.79
2019-06-06,Panama,270,11825.86
2019-06-03,Canada,41,2994.71
2019-06-14,USA,253,3079.7
2019-06-12,Canada,54,977.35
2019-06-28,Canada,129,3101.86
2019-06-10,Panama,55,620.12
2019-06-16,USA,271,2413.82
2019-06-25,Colombia,331,476.28
2019-06-06,Canada,317,22033.62
2019-06-09,Colombia,41,714.02
2019-06-17,USA,60,3375.59
2019-06-16,Colombia,256,3730.89
2019-06-18,Colombia,374,14310.99
2019-06-20,Colombia,305,2732.91
2019-06-11,Canada,220,15825.56
2019-06-09,Canada,271,5967.95
2019-06-26,Canada,48,2237.04
2019-06-24,Panama,395,4346.72
2019-06-10,Canada,391,11812.17
2019-06-01,Canada,348,8689.44
2019-06-11,Colombia,341,3771.35
2019-06-30,Colombia,136,7139.75
2019-06-01,Canada,24,211.39
2019-06-06,Panama,97,3422.57
2019-06-11,Canada,294,4691.76
2019-06-15,Panama,184,683.17
2019-06-11,Brazil,179,9719.61
2019-06-17,Canada,224,6746.62
2019-06-14,Canada,132,4877.22
2019-06-24,Panama,37,168.83
2019-06-10,USA,316,2527.22
2019-06-07,USA,151,2935.54
2019-06-08,Colombia,149,1184.38
2019-06-27,USA,75,1144.41
2019-06-25,Panama,370,262.81
2019-06-23,Panama,121,9612.02
2019-06-18,Panama,194,9351.09
2019-06-02,Canada,350,7217.2
2019-06-19,Brazil,34,868.29
2019-06-01,Panama,230,437.74
2019-06-20,Panama,119,1236.42
2019-06-06,Canada,314,3866.09
2019-06-16,Colombia,250,6509.14
2019-06-28,USA,373,5682.17
2019-06-18,Canada,302,4948.88
2019-06-18,USA,33,199.3
2019-06-23,USA,92,194.81
2019-06-14,Colombia,294,6007.34
2019-06-16,USA,122,4997.78
2019-06-02,Brazil,75,4030.92
2019-06-25,Canada,61,2741.88
2019-06-15,USA,50,1745.98
2019-06-20,Panama,151,2767.27
2019-06-24,Brazil,46,4156.74
2019-06-03,Panama,378,18349.14
2019-06-09,Panama,179,215.06
2019-06-06,Panama,323,22070.75
2019-06-02,Brazil,22,389.83
2019-06-15,Panama,221,360.76
2019-06-24,Canada,305,15997.49
2019-06-18,Panama,159,1393.21
2019-06-20,Colombia,214,4917.81
2019-06-26,Colombia,121,5520.21
2019-06-21,USA,342,20333.76
2019-06-20,Colombia,133,6658.42
2019-06-19,Canada,71,2966.62
2019-06-21,USA,290,3327.99
2019-06-17,USA,130,5888.66
2019-06-29,Canada,117,4509.26
2019-06-19,Panama,128,1236.03
2019-06-02,Colombia,331,2235.23
2019-06-04,Canada,349,5271.05
2019-06-24,Panama,372,1411.13
2019-06-29,USA,326,8411.89
2019-06-14,USA,362,8867.61
2019-06-27,Brazil,80,2129.23
2019-06-11,Canada,248,4761.58
2019-06-21,Brazil,20,433.98
2019-06-06,USA,279,9167.04
2019-06-28,Canada,340,332.7
2019-06-13,Colombia,67,2700.68
2019-06-01,Brazil,192,4793.58
2019-06-04,USA,261,12652.81
2019-06-11,Panama,180,6328.46
2019-06-05,USA,355,7319.08
2019-06-08,Panama,169,3319.63
2019-06-19,Brazil,193,11910.48
2019-06-11,USA,120,4717.49
2019-06-01,Canada,293,7084.77
2019-06-24,Canada,293,23482.15
2019-06-01,Canada,84,1944.55
2019-06-09,Canada,312,6203.52
2019-06-02,Canada,314,12598.8
2019-06-01,Brazil,128,506.83
2019-06-05,Panama,230,3786.46
2019-06-21,Canada,73,2426.78
2019-06-15,USA,222,1147.4
2019-06-19,Panama,164,6982.91
2019-06-16,Brazil,396,8639.77
2019-06-20,Colombia,129,896.77
2019-06-16,Colombia,51,465.13
2019-06-14,Colombia,342,16574.26
2019-06-27,Colombia,373,5058.63
2019-06-27,Brazil,186,2243.8
2019-06-23,USA,230,12200.9
2019-06-23,Brazil,192,108.65
2019-06-04,Brazil,222,18102.96
2019-06-30,Panama,355,7569.45
2019-06-21,Brazil,150,6320.39
2019-06-20,Panama,398,24317.12
2019-06-15,Canada,59,4017.08
2019-06-22,Canada,63,2349.15
2019-06-28,Brazil,297,25254.86
2019-06-23,Brazil,34,2191.36
2019-06-16,Colombia,151,663.04
2019-06-03,Panama,88,3350.89
2019-06-01,Panama,329,10583.25
2019-06-09,Colombia,130,1897.25
2019-06-08,USA,138,1305.96
2019-06-08,Brazil,289,1862.94
2019-06-05,Canada,100,935.72
2019-06-02,Colombia,169,1115.16
2019-06-24,Canada,45,1117.42
2019-06-18,Colombia,104,7915.07
2019-06-27,Brazil,328,9945.23
2019-06-18,Panama,164,4143.07
2019-06-30,Brazil,118,5817.72
2019-06-28,Panama,309,6618.86
2019-06-19,Brazil,113,3777.28
2019-06-25,USA,232,8680.25
2019-06-02,USA,299,22138.65
2019-06-03,Colombia,362,8777
2019-06-16,Brazil,291,530.94
2019-06-28,USA,39,1045.1
2019-06-01,Panama,95,1488.9
2019-06-01,Colombia,42,827.73
2019-06-09,Canada,292,2671.29
2019-06-10,Canada,129,2408.56
2019-06-24,Canada,81,315.52
2019-06-21,Canada,12,409.49
2019-06-09,USA,262,10649.25
2019-06-25,Colombia,324,1061.72
2019-06-12,Brazil,25,360.5
2019-06-18,Canada,276,4302.9
2019-06-14,Colombia,131,9878.36
2019-06-02,USA,100,7302.23
2019-06-15,USA,17,338.97
2019-06-12,Colombia,97,1822.17
2019-06-30,Panama,338,1086.75
2019-06-05,Colombia,153,814.96
2019-06-23,USA,156,13628.57
2019-06-01,Brazil,180,341.76
2019-06-21,Colombia,378,12131.72
2019-06-01,Panama,224,9233.84
2019-06-06,Brazil,333,3547.19
2019-06-04,Panama,76,1466.85
2019-06-26,Canada,34,384.8
2019-06-15,Panama,16,320.43
2019-06-25,Colombia,362,3795.07
2019-06-21,USA,194,2850.89
2019-06-05,Colombia,24,422.73
2019-06-22,Colombia,40,881.96
2019-06-04,Colombia,149,6190.91
2019-06-30,Colombia,314,14420.64
2019-06-29,Colombia,268,24239.79
2019-06-12,Brazil,36,730.59
2019-06-12,Panama,64,2504.75
2019-06-18,Panama,16,207.6
2019-06-07,Canada,79,4428.66
2019-06-22,Canada,216,11027.69
2019-06-06,Panama,66,663.4
2019-06-26,USA,153,4736.65
2019-06-29,Colombia,64,527.05
2019-06-25,Canada,105,5314.47
2019-06-15,USA,230,892.89
2019-06-22,Canada,326,14893.69
2019-06-22,Colombia,327,4682.11
2019-06-01,Canada,265,1367.93
2019-06-29,Brazil,208,591.71
2019-06-16,Colombia,328,11185.12
2019-06-17,Colombia,356,12298.97
2019-06-21,Colombia,108,4359.12
2019-06-02,Brazil,194,8356.21
2019-06-18,Brazil,384,20943.51
2019-06-26,Canada,141,850.1
2019-06-29,Canada,371,3447.56
2019-06-12,Canada,195,7159.1
2019-06-16,Brazil,159,6612.01
2019-06-03,USA,41,2866.44
2019-06-27,Canada,368,11559.9
2019-06-05,Canada,109,1603.93
2019-06-24,Panama,24,1306.94
2019-06-10,Canada,271,3327.75
2019-06-14,Panama,289,25042.25
2019-06-13,Canada,207,14149.3
2019-06-01,Canada,320,6044.29
2019-06-25,Panama,333,7143.01
2019-06-11,Colombia,57,538.85
2019-06-04,Panama,110,3420.73
2019-06-30,Canada,146,7043.98
2019-06-14,USA,326,18850.9
2019-06-06,Colombia,346,2698.64
2019-06-21,Panama,29,613.74
2019-06-21,Panama,306,2920.62
2019-06-25,Brazil,88,571.54
2019-06-24,Colombia,352,24723.6
2019-06-23,Colombia,82,4195.12
2019-06-18,Brazil,203,457.83
2019-06-23,Colombia,173,11959.85
2019-06-20,Panama,143,2126.23
2019-06-09,Canada,283,2070.76
2019-06-30,USA,26,642.25
2019-06-15,Brazil,373,13116.89
2019-06-13,Brazil,129,5400.96
2019-06-01,Brazil,124,969.7
2019-06-15,Panama,135,8458.93
2019-06-18,Canada,392,3940.05
2019-06-25,Canada,96,4886.72
2019-06-14,Canada,183,8805.17
2019-06-17,Panama,213,5722.22
2019-06-19,Brazil,17,436.02
