Report generated on 01-01-2020,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
2019-03-10,USA,288,4283.13
2019-03-10,Panama,195,1120.84
2019-03-20,Colombia,24,1562.82
2019-03-07,Colombia,255,2889.14
2019-03-01,Brazil,271,9143.03
2019-03-13,Panama,387,26050.58
2019-03-03,Brazil,19,146
2019-03-07,Brazil,154,2590.08
2019-03-20,Colombia,383,2371.61
2019-03-15,Colombia,147,7233.09
2019-03-20,Panama,336,3486.55
2019-03-24,Panama,110,6047.09
2019-03-23,Brazil,252,16694.51
2019-03-29,USA,16,559.39
2019-03-30,Panama,42,123.18
2019-03-16,Panama,88,2683.54
2019-03-10,Canada,165,163.76
2019-03-07,Brazil,316,600.76
2019-03-16,Panama,345,8772.07
2019-03-24,USA,20,742.42
2019-03-25,Panama,272,7094.11
2019-03-31,Canada,115,1087.99
2019-03-31,Canada,157,4641.51
2019-03-31,USA,330,17351.25
2019-03-19,Canada,126,1407.25
2019-03-07,Canada,274,16504.33
2019-03-18,Colombia,102,3602.03
2019-03-04,Colombia,155,2808.95
2019-03-07,Panama,134,9536.57
2019-03-25,Colombia,124,7510.11
2019-03-29,USA,274,4895.28
2019-03-13,Colombia,50,497.47
2019-03-12,Panama,26,2069
2019-03-26,Panama,291,733.37
2019-03-22,Panama,280,9067.76
2019-03-08,Canada,181,11100.36
2019-03-02,Canada,367,7066.63
2019-03-22,Colombia,44,100.8
2019-03-05,Colombia,82,1545.61
2019-03-11,Panama,280,15265.62
2019-03-07,Colombia,88,4578.49
2019-03-16,Canada,174,1461.8
2019-03-10,Panama,143,6195.71
2019-03-29,Colombia,192,1983.85
2019-03-28,Colombia,160,4244.59
2019-03-10,Brazil,363,28323.59
2019-03-15,Colombia,142,8341.92
2019-03-22,USA,390,4582.05
2019-03-10,Canada,77,72.22
2019-03-02,Brazil,169,5675.67
2019-03-27,Panama,71,2087.77
2019-03-16,Colombia,113,2729.93
2019-03-25,Brazil,266,7279.43
2019-03-24,Colombia,370,29222.28
2019-03-25,USA,172,9779.8
2019-03-12,Canada,35,826
2019-03-07,Brazil,241,15042.21
2019-03-12,Colombia,205,5806.75
2019-03-17,USA,277,14650.91
2019-03-21,Panama,48,14.42
2019-03-30,Brazil,176,9730.34
2019-03-23,Canada,394,738.25
2019-03-02,Canada,29,723.76
2019-03-13,Brazil,108,332.1
2019-03-31,Brazil,304,2152.72
2019-03-10,Panama,28,143.32
2019-03-31,Colombia,384,9508.81
2019-03-23,USA,330,17316.56
2019-03-16,USA,386,4188.41
2019-03-10,Brazil,234,5816.65
2019-03-29,USA,96,3326.34
2019-03-06,Brazil,105,9074.97
2019-03-31,USA,179,1421.94
2019-03-15,USA,392,2095.49
2019-03-15,Panama,40,902.96
2019-03-11,Brazil,313,6176.36
2019-03-04,Brazil,398,8658.56
2019-03-18,Canada,380,9738.06
2019-03-26,Panama,134,5881.76
2019-03-15,Panama,85,2482.66
2019-03-16,Colombia,373,8791.58
2019-03-28,USA,107,6588.96
2019-03-23,Brazil,222,13934.95
2019-03-03,Panama,142,4783.07
2019-03-10,USA,77,2458.76
2019-03-07,Panama,52,2368.05
2019-03-04,USA,328,6517.1
2019-03-06,USA,11,269.19
2019-03-27,Colombia,241,10766.53
2019-03-23,Canada,301,6769.89
2019-03-09,Brazil,245,2548.26
2019-03-17,Colombia,184,80.8
2019-03-11,Brazil,267,5543.72
2019-03-26,USA,158,6937.47
2019-03-02,Brazil,362,8260.7
2019-03-06,Canada,120,1895.72
2019-03-16,Colombia,50,2161.74
2019-03-01,USA,378,7383.58
2019-03-08,Colombia,95,2327.43
2019-03-14,Panama,377,25533.11
2019-03-07,Canada,339,7557.65
2019-03-22,USA,309,10056.43
2019-03-28,Panama,349,9456.26
2019-03-04,Canada,163,10693.76
2019-03-10,Brazil,347,12715.55
2019-03-06,Panama,150,1865.58
2019-03-26,Colombia,184,6028.28
2019-03-19,Panama,239,14974.13
2019-03-02,Panama,179,2374.68
2019-03-23,Colombia,136,7575.17
2019-03-17,USA,275,7359.43
2019-03-09,Panama,125,11257.09
2019-03-25,Colombia,154,2893.3
2019-03-03,Panama,282,17272.09
2019-03-14,Brazil,59,638.41
2019-03-30,Brazil,234,3269.98
2019-03-23,Panama,167,1445.71
2019-03-20,USA,260,3730.3
2019-03-08,Canada,138,6957.9
2019-03-08,Brazil,297,4785.21
2019-03-24,Panama,373,12083.59
2019-03-09,Panama,100,9225.41
2019-03-10,Brazil,326,20578.6
2019-03-02,Panama,191,6847.77
2019-03-25,Panama,111,5681.79
2019-03-17,Brazil,354,11494.38
2019-03-03,Panama,123,8945.28
2019-03-15,Brazil,17,809.78
2019-03-21,Canada,228,6600.27
2019-03-28,Colombia,264,3406.28
2019-03-05,Canada,330,4516.41
2019-03-17,Canada,327,7203.28
2019-03-12,Canada,321,4787.62
2019-03-21,USA,116,1423.69
2019-03-31,Colombia,335,6902.02
2019-03-29,Colombia,44,1573.23
2019-03-17,Canada,177,11049.93
2019-03-11,USA,84,2251.19
2019-03-05,Colombia,284,9100.6
2019-03-23,Canada,13,243.09
2019-03-22,Brazil,375,6728.95
2019-03-01,Canada,245,21329.32
2019-03-10,Canada,259,5936.95
2019-03-01,Panama,120,19.23
2019-03-06,Brazil,59,1426.94
2019-03-01,Colombia,21,938.51
2019-03-04,USA,42,2338.65
2019-03-11,USA,121,1842.54
