Report generated on 01-01-2020,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
2019-11-02,Brazil,326,296.42
2019-11-27,Panama,371,5833.69
2019-11-04,USA,115,3795.53
2019-11-05,Brazil,214,2259.2
2019-11-30,Colombia,172,1199.77
2019-11-01,Canada,319,4917.23
2019-11-18,Brazil,221,20008.47
2019-11-29,Panama,27,2171.56
2019-11-28,USA,119,5646.11
2019-11-12,Colombia,180,536.41
2019-11-23,USA,343,6967.17
2019-11-15,Panama,140,1835.96
2019-11-04,Colombia,259,764.66
2019-11-16,USA,22,1319.77
2019-11-12,USA,42,2699.25
2019-11-03,Canada,85,446.78
2019-11-24,Brazil,269,7473.36
2019-11-30,Canada,89,1209.9
2019-11-20,Brazil,217,10929.25
2019-11-06,USA,238,15.88
2019-11-08,Colombia,70,1330.86
2019-11-05,Panama,39,3051.87
2019-11-27,Colombia,213,3783.44
2019-11-09,USA,302,12122.53
2019-11-07,USA,212,3150.67
2019-11-01,Brazil,86,2542.74
2019-11-22,USA,117,1515.1
2019-11-27,Canada,273,5760.85
2019-11-26,Brazil,167,364.72
2019-11-26,Canada,90,998.02
2019-11-23,Panama,186,3520.24
2019-11-15,Brazil,385,10245.42
2019-11-17,Panama,339,12155.31
2019-11-07,Brazil,249,4877.37
2019-11-05,USA,127,449.15
2019-11-28,Brazil,189,6296.82
2019-11-22,Canada,367,21024.6
2019-11-15,USA,343,19987.34
2019-11-10,USA,28,1348.92
2019-11-29,Colombia,113,145.62
2019-11-13,Brazil,46,1072.96
2019-11-07,USA,35,2488.69
2019-11-15,Colombia,223,6222.4
2019-11-24,Brazil,245,917.11
2019-11-10,Canada,241,15572.73
2019-11-07,Brazil,315,15413.95
2019-11-14,Brazil,111,10752.24
2019-11-02,Colombia,342,22652.01
2019-11-02,Colombia,316,3486.2
2019-11-13,Canada,162,13191.02
2019-11-22,Colombia,131,7474.37
2019-11-13,Colombia,207,7628.08
2019-11-17,Panama,292,10311.66
2019-11-21,USA,164,11635.04
2019-11-29,USA,314,6569.8
2019-11-02,USA,132,7796.76
2019-11-30,Panama,395,19714.18
2019-11-19,Colombia,137,4595.88
2019-11-29,Colombia,264,2560.75
2019-11-12,USA,192,3891.98
2019-11-22,Brazil,54,1070.1
2019-11-11,Colombia,60,1053.73
2019-11-17,USA,202,794.23
2019-11-09,Panama,246,3328.71
2019-11-25,Brazil,93,5837.61
2019-11-12,Colombia,261,586.66
2019-11-27,USA,281,13315.01
2019-11-23,Colombia,290,15850.55
2019-11-10,USA,63,3103.48
2019-11-02,USA,88,1232.15
2019-11-30,Panama,63,1054.69
2019-11-26,Colombia,156,10786.16
2019-11-17,Brazil,45,178.89
2019-11-28,Canada,325,5067.29
2019-11-04,Canada,175,4061.37
2019-11-30,Colombia,144,135.06
2019-11-02,Brazil,56,473.73
2019-11-17,Canada,164,5041.47
2019-11-08,Canada,198,12731.98
2019-11-18,Brazil,379,7234.67
2019-11-13,Brazil,301,1382.48
2019-11-20,Brazil,206,1915.61
2019-11-02,USA,247,3694.49
2019-11-02,Canada,299,5419.81
2019-11-22,USA,194,2139.67
2019-11-03,Panama,311,3476.36
2019-11-08,USA,251,2683.08
2019-11-29,Colombia,73,2473.94
2019-11-28,Panama,330,7631.93
2019-11-19,Canada,27,1717.36
2019-11-11,Canada,152,3410.9
2019-11-09,Brazil,304,3996.88
2019-11-02,USA,294,2755.81
2019-11-06,Colombia,203,3524.87
2019-11-12,Brazil,38,54.73
2019-11-28,Brazil,57,1391.85
2019-11-26,USA,233,16000.25
2019-11-03,Brazil,92,2414.85
2019-11-27,Colombia,132,5545.16
2019-11-28,USA,388,27002.71
2019-11-28,Brazil,137,9306.76
2019-11-21,USA,199,7159.96
2019-11-26,USA,50,758.69
2019-11-12,Canada,345,280.65
2019-11-11,Panama,46,1842.84
2019-11-06,Canada,320,8461.23
2019-11-16,Colombia,72,612.46
2019-11-02,Brazil,393,5261.02
2019-11-07,Brazil,10,933.63
2019-11-04,Brazil,132,10179.22
2019-11-20,Brazil,208,5537.04
2019-11-22,Brazil,315,3360.38
2019-11-19,Brazil,328,22390.55
2019-11-13,Panama,289,5480.27
2019-11-11,USA,121,3684.21
2019-11-05,Brazil,174,1150.25
2019-11-06,USA,310,9591.36
2019-11-13,Canada,208,16314.81
2019-11-22,Panama,86,6519.86
2019-11-15,Panama,351,6250.85
2019-11-28,Panama,69,1432.98
2019-11-02,Colombia,332,8681.79
2019-11-04,Canada,135,1453.77
2019-11-06,Brazil,240,22355.76
2019-11-17,Colombia,163,3531.84
2019-11-01,Colombia,124,1680.08
2019-11-09,Canada,375,10941.87
2019-11-11,USA,158,7788.07
2019-11-09,Canada,68,1046.09
2019-11-04,Brazil,46,216.19
2019-11-15,Colombia,277,19103.58
2019-11-19,Canada,137,1071.39
2019-11-01,Canada,177,5752.61
2019-11-08,Colombia,300,9037.24
2019-11-15,Panama,169,2537.17
2019-11-30,Brazil,94,1676.86
2019-11-03,Canada,188,3277.44
2019-11-26,Panama,222,3758.61
2019-11-10,Panama,375,8070.04
2019-11-07,USA,208,2269.8
2019-11-02,USA,177,226.11
2019-11-12,Colombia,363,6022.04
2019-11-19,Brazil,116,6580.92
2019-11-27,Brazil,347,2588.32
2019-11-09,Canada,236,2217.17
2019-11-18,Colombia,291,19226.1
2019-11-08,Panama,36,2766.94
2019-11-17,Brazil,302,2387.85
2019-11-30,Colombia,141,633.55
2019-11-26,Brazil,269,3849.2
2019-11-18,Brazil,335,7468.62
2019-11-05,Colombia,22,208.6
2019-11-25,Colombia,312,15798.56
2019-11-07,Canada,217,15495.81
2019-11-10,USA,387,14398.16
2019-11-12,Canada,25,1948.47
2019-11-08,Colombia,366,4424.79
2019-11-19,Canada,392,2656.38
2019-11-14,Panama,222,1878.08
2019-11-03,USA,39,1923.07
2019-11-25,Canada,186,741.09
2019-11-10,USA,128,3745.07
2019-11-27,Panama,181,7876.68
2019-11-29,Brazil,64,3215.66
2019-11-19,Colombia,290,12609
2019-11-06,USA,295,14313.37
2019-11-01,Brazil,146,8463.78
2019-11-06,Brazil,219,12362.95
2019-11-28,Canada,96,3079.9
2019-11-04,Canada,331,153.36
2019-11-29,Panama,281,3809.58
2019-11-15,Panama,117,5645.96
2019-11-04,USA,74,3128.44
2019-11-23,Canada,291,4340.26
2019-11-10,Canada,245,8526.43
2019-11-11,Canada,33,2255.13
