Report generated on 01-01-2020,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
2019-10-31,Canada,249,644.77
2019-10-29,Canada,28,714.64
2019-10-02,Colombia,282,12295.28
2019-10-15,Colombia,360,30258.01
2019-10-09,Colombia,96,4218.59
2019-10-30,Panama,71,4682.24
2019-10-05,Colombia,231,518.95
2019-10-17,Canada,162,2777.01
2019-10-17,Colombia,376,11897.06
2019-10-03,Canada,75,128.65
2019-10-27,Brazil,274,17877.98
2019-10-18,Brazil,132,7004.76
2019-10-27,Brazil,154,6767.74
2019-10-27,Colombia,281,2382.5
2019-10-15,USA,316,6601.57
2019-10-18,Panama,16,27.65
2019-10-20,Panama,76,1571.44
2019-10-29,USA,134,9988.64
2019-10-22,Colombia,284,19410.38
2019-10-22,USA,59,3004.29
2019-10-15,Brazil,148,5254.78
2019-10-21,Brazil,214,1921.77
2019-10-20,USA,194,9803.31
2019-10-08,Brazil,284,5516.8
2019-10-19,Canada,98,4835.12
2019-10-20,Canada,311,8102.63
2019-10-25,Canada,353,2831.35
2019-10-17,Brazil,39,1347.13
2019-10-12,Panama,209,2633.82
2019-10-11,Brazil,289,11693.39
2019-10-11,Panama,86,4694.8
2019-10-29,Canada,91,1502.19
2019-10-23,Colombia,387,35267.41
2019-10-23,Panama,369,2186.12
2019-10-27,USA,55,1096.22
2019-10-05,Panama,26,688.02
2019-10-24,USA,284,10938.19
2019-10-06,Brazil,292,622.61
2019-10-19,Colombia,42,288.34
2019-10-13,Canada,314,6385.75
2019-10-19,Colombia,86,1439.44
2019-10-03,Canada,245,732.81
2019-10-07,USA,126,5264.07
2019-10-11,Panama,374,11398.43
2019-10-31,Colombia,308,7671.69
2019-10-01,Brazil,257,5359.38
2019-10-10,USA,114,2458.58
2019-10-10,Brazil,281,431.75
2019-10-03,Brazil,268,12400.87
2019-10-27,Colombia,56,4199.47
2019-10-07,Brazil,277,7558.39
2019-10-31,Brazil,393,19712.86
2019-10-02,Panama,120,9949.68
2019-10-08,USA,207,8965.25
2019-10-23,Canada,129,5625.18
2019-10-09,Panama,119,3707.66
2019-10-10,USA,340,9685.76
2019-10-18,Colombia,386,5868.1
2019-10-29,Canada,232,10933.13
2019-10-17,Colombia,119,5498.54
2019-10-01,USA,328,11497.94
2019-10-05,USA,209,1138.65
2019-10-12,USA,250,3417.63
2019-10-22,USA,308,13765.93
2019-10-29,Brazil,285,4979.08
2019-10-23,USA,338,2449.92
2019-10-30,Canada,90,3211
2019-10-30,USA,195,8972.92
2019-10-20,Brazil,394,17286.24
2019-10-21,Canada,223,16135.65
2019-10-31,Colombia,224,11198.79
2019-10-21,USA,142,5651.88
2019-10-16,USA,94,2495.49
2019-10-12,Canada,158,2380.04
2019-10-27,Canada,28,97.02
2019-10-03,Canada,143,1257.88
2019-10-23,Colombia,223,1457.42
2019-10-15,Brazil,179,10682.86
2019-10-26,Panama,348,4425.64
2019-10-24,USA,38,1403.4
2019-10-19,USA,348,13681.76
2019-10-27,Colombia,159,6013.54
2019-10-05,Canada,15,178
2019-10-07,Panama,289,5053.39
2019-10-23,Colombia,248,3110.39
2019-10-21,Brazil,126,3417.01
2019-10-05,Brazil,353,20121.14
2019-10-18,Canada,33,437.81
2019-10-20,USA,186,7797.33
2019-10-25,Canada,307,757.81
2019-10-18,Brazil,280,4209.54
2019-10-15,Panama,126,5939.16
2019-10-14,USA,34,1011.95
2019-10-13,Colombia,106,1509.46
2019-10-02,USA,351,11016.33
2019-10-30,USA,171,7088.12
2019-10-26,Panama,140,1199.27
2019-10-09,Canada,338,7046.79
2019-10-12,Brazil,149,3488.58
2019-10-27,Brazil,114,2414.42
2019-10-21,USA,209,9115.9
2019-10-14,USA,209,476.63
2019-10-21,Panama,150,2235.82
2019-10-07,Panama,123,4781.85
2019-10-23,Canada,186,405.46
2019-10-27,Colombia,75,1503.65
2019-10-27,Brazil,36,1123.52
2019-10-17,Colombia,45,1377.26
2019-10-28,USA,148,916.12
2019-10-26,Brazil,213,5992.63
2019-10-15,Colombia,113,3414.92
2019-10-14,Panama,121,1052.99
