Report generated on 01-01-2020,,,
Created by: user9284,,,
Company XYZ,,,
,,,
Date,Country,Units,Revenue
2019-09-04,Brazil,180,919.68
2019-09-03,Canada,302,11197.05
2019-09-29,Canada,148,9099.83
2019-09-07,Panama,315,4596.28
2019-09-21,Panama,247,1180.32
2019-09-16,USA,33,7.42
2019-09-29,Canada,191,4276.96
2019-09-15,Panama,22,842.57
2019-09-03,Brazil,184,935.45
2019-09-30,Brazil,71,3308.93
2019-09-21,USA,120,6381.97
2019-09-02,Canada,143,2549.73
2019-09-23,Canada,258,13403.82
2019-09-29,Brazil,293,11629.49
2019-09-06,Brazil,63,46.62
2019-09-13,USA,169,869
2019-09-17,USA,191,3330.2
2019-09-10,Colombia,44,1118.22
2019-09-12,USA,182,4355.21
2019-09-03,Canada,116,5150.08
2019-09-18,Colombia,207,274.64
2019-09-06,Canada,337,14751.08
2019-09-30,Panama,40,2526.4
2019-09-15,Canada,179,123.21
2019-09-01,Canada,287,20447.51
2019-09-23,Colombia,383,2622.46
2019-09-25,Brazil,144,6736.03
2019-09-03,Panama,318,19273.67
2019-09-17,Canada,332,7606.93
2019-09-09,USA,339,17055.87
2019-09-27,Canada,256,6308.81
2019-09-07,Canada,116,1412.5
2019-09-21,Colombia,113,7636.05
2019-09-12,Panama,285,19068.49
2019-09-03,Brazil,142,733.87
2019-09-04,Brazil,351,6643.47
2019-09-02,Colombia,17,1553.43
2019-09-03,Panama,338,15240.53
2019-09-11,Colombia,44,1327.16
2019-09-10,Brazil,142,2803.83
2019-09-13,Canada,266,5361.14
2019-09-04,Colombia,282,13675.23
2019-09-18,Colombia,359,13469.56
2019-09-12,Colombia,279,3037.74
2019-09-21,Colombia,316,5139.21
2019-09-25,Panama,20,1209.11
2019-09-19,Colombia,135,8366.95
2019-09-05,Canada,71,4301.84
2019-09-08,Canada,168,2663.92
2019-09-24,Canada,59,2733.09
2019-09-21,Colombia,159,6509.13
2019-09-29,Canada,369,3823.7
2019-09-07,Colombia,189,3905.39
2019-09-27,Brazil,399,8192.3
2019-09-18,Canada,254,6136.76
2019-09-29,Brazil,207,5719.12
2019-09-01,Brazil,270,1982.58
2019-09-15,USA,227,1759.84
2019-09-11,Panama,194,8522.88
2019-09-29,USA,51,707.99
2019-09-01,Panama,129,1637.25
2019-09-09,Panama,177,5707.05
2019-09-05,Panama,106,2062.74
2019-09-09,Brazil,103,6731.54
2019-09-29,Colombia,397,8199.7
2019-09-19,Panama,105,1016.21
2019-09-23,Brazil,263,11956.44
2019-09-15,USA,354,103.96
2019-09-06,Panama,48,1920.12
2019-09-20,USA,71,660.37
2019-09-17,Panama,342,2909.3
2019-09-14,Canada,79,947.57
2019-09-28,USA,216,9338.89
2019-09-19,Canada,163,856.04
2019-09-06,Brazil,340,7557.53
2019-09-08,Colombia,219,200.52
2019-09-29,Canada,20,28
2019-09-22,Colombia,346,11639.67
2019-09-26,Colombia,198,1890.53
2019-09-20,Colombia,86,2063.8
2019-09-26,Colombia,358,18028.96
2019-09-04,Colombia,198,4207.81
2019-09-25,Canada,268,6644.62
2019-09-19,Canada,98,1135.12
2019-09-29,Panama,70,3234.63
2019-09-19,Brazil,34,429.66
2019-09-05,USA,182,3968.97
2019-09-03,Brazil,78,4986.1
2019-09-22,Brazil,348,10326.01
2019-09-22,Colombia,40,585.7
2019-09-20,Colombia,273,2993.02
2019-09-13,USA,95,2078.68
2019-09-17,Brazil,89,4681.47
2019-09-12,Colombia,151,2846.85
2019-09-08,Panama,283,6768.33
2019-09-15,USA,310,3282.5
2019-09-12,USA,393,7286.78
2019-09-23,Canada,25,17.56
2019-09-02,USA,91,3058.22
2019-09-09,USA,317,7845.48
2019-09-21,Canada,17,381.59
2019-09-16,Colombia,147,5135.69
2019-09-08,Colombia,42,600.62
2019-09-23,Canada,150,2399.54
2019-09-23,Brazil,257,9975.05
2019-09-24,Panama,335,17125.4
2019-09-02,Canada,313,12288.35
2019-09-20,Brazil,109,1860.81
2019-09-05,USA,80,3883.57
2019-09-09,Panama,45,784.37
2019-09-27,Panama,88,1728.08
2019-09-18,Colombia,185,8694.65
2019-09-05,Brazil,221,13085.82
2019-09-12,Canada,285,13239.79
2019-09-22,Panama,351,644.58
2019-09-11,Panama,263,691.54
2019-09-04,Panama,315,3512.9
2019-09-04,Colombia,286,7771.92
2019-09-11,Canada,394,1565.42
2019-09-07,USA,136,1391.21
2019-09-27,Colombia,334,16471.58
2019-09-07,Panama,178,3354.07
2019-09-13,Brazil,142,7231.57
2019-09-22,Panama,168,4901.51
2019-09-15,Canada,58,2025.29
2019-09-23,Panama,209,9655.29
2019-09-12,Panama,31,538.27
2019-09-03,Panama,203,18507.7
2019-09-01,USA,227,12044.49
2019-09-17,Canada,166,8060.33
2019-09-22,Brazil,86,5273.11
2019-09-18,Panama,317,7121.26
2019-09-13,Colombia,146,3309.81
2019-09-30,Panama,62,4290.36
2019-09-07,Brazil,300,3093.19
2019-09-17,Brazil,303,3472.33
2019-09-08,Colombia,313,21848.99
2019-09-26,Canada,270,3608.76
2019-09-30,Colombia,355,19464.97
2019-09-06,Colombia,187,5179.64
2019-09-15,Brazil,68,4593.23
2019-09-07,Canada,354,11970.9
2019-09-08,Colombia,196,4415.73
